"","Synchaeta","Autotroph","Mixotroph","Heterotroph","Keratella","Acartia","Evadne","Limecola balthica","Eurytemora affinis","Limnocalanus macrurus","Podon/pleopis","Gasterosteus aculeatus","Osmerus eperlanus","Pomatoschistus","Bosmina","Cyclopoida","Monoporeia affinis","Pontoporeia femorata","Coregonus","Detritus","Oligochaeta","Neogobius melanostomus","Clupea harengus","Gadus morhua","Saduria entomon","Sprattus sprattus","Zoarces viviparus","Sander lucioperca","Myoxocephalus scorpius","Platichthys flesus","Liparis liparis","Marenzelleria","Gymnocephalus cernua","Myoxocephalus quadricornis"
"Synchaeta",0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
"Autotroph",1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mixotroph",1,0,0,0,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heterotroph",1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Keratella",0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"Acartia",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
"Evadne",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"Limecola balthica",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0
"Eurytemora affinis",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
"Limnocalanus macrurus",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
